ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4097;1;1;10672;NULL;11824,0000000;NULL;11824,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;111;NULL;1;0
4098;2;1;27468;NULL;302,0000000;NULL;347,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4099;3;1;27383;NULL;18483,0000000;NULL;19105,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;127;NULL;1;0
4100;4;1;5616;NULL;35,0000000;NULL;40,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4101;5;1;28453;NULL;3775,0000000;NULL;6646,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4102;6;1;19198;NULL;12460,0000000;NULL;12485,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;136;NULL;1;0
4103;7;1;27368;NULL;398,0000000;NULL;642,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;111;NULL;1;0
4105;9;1;8001;NULL;54,0000000;NULL;70,0000000;NULL;41,0000000;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;129;NULL;1;0
4106;10;1;26776;NULL;8686,0000000;NULL;9482,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;150;NULL;1;0
4108;12;1;11624;NULL;52,0000000;NULL;52,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;143;NULL;1;0
4109;13;1;25806;NULL;17,0000000;NULL;17,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;143;NULL;1;0
4110;14;1;16153;NULL;170837,0000000;NULL;171487,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;171;NULL;1;0
4111;15;1;16156;NULL;34025,0000000;NULL;34687,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;171;NULL;1;0
4112;16;1;17132;NULL;8470,0000000;NULL;8485,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4113;17;1;28989;NULL;5531,0000000;NULL;5641,0000000;NULL;-110,0000000;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4114;18;1;4286;NULL;2739,0000000;NULL;3533,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4115;19;1;27675;NULL;3522,0000000;NULL;3702,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;171;NULL;1;0
4116;20;1;23063;NULL;2368,0000000;NULL;2454,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;184;NULL;1;0
